Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,Views,UpVotes,DownVotes,Age,ProfileImageUrl,ImageName
0,3243,19-07-2010 19:11,Opt,12-04-2014 15:14,http://www.columbia.edu/~cds81,"Brussels, Belgium",561,1145,22,33.0,,
1,1894,08-09-2010 13:44,Margaret,11-09-2014 11:00,,Germany,262,25,0,37.0,,
2,1,04-09-2010 04:50,nicolaskruchten,04-08-2010 23:56,https://crazycodes.wordpress.com,"Washington, DC",0,0,0,51.0,,
3,1,02-08-2010 14:11,Cyrus,17-12-2010 18:44,http://aiic.net/v.buck,"Lynchburg, VA",120,408,0,46.0,,
4,7983,31-08-2010 11:43,Amos,25-03-2014 16:09,http://www.emakalic.org/blog,"Richmond, VA",1858,1508,163,40.0,,
5,848,05-09-2010 15:47,CanSpice,01-12-2011 20:58,http://seizethedave.tumblr.com,"Buenos Aires, Argentina",0,0,7,34.0,,
6,1,26-09-2010 16:26,dpavlin,19-07-2010 22:45,,,0,0,0,,,
7,1,03-09-2010 02:28,csgillespie,21-12-2013 00:01,,,0,0,0,,,
8,1,19-07-2010 21:55,Andre Holzner,27-08-2013 01:25,,"Belgrade, Serbia",0,0,53,37.0,,
9,1,21-07-2010 12:09,zaxtax,25-12-2013 04:34,http://www.statisticalanalysisconsulting.com/,"Warsaw, Poland",0,0,0,30.0,,
10,4003,03-08-2010 21:09,esm,17-12-2010 18:44,http://www.thenewsbeforethenews.com,"Boston, MA",841,458,81,,,
11,1,29-07-2010 18:47,Nick Canzoneri,17-11-2011 08:12,http://www.flickr.com/photos/nimrodm/,Connecticut,0,0,0,,,
12,1,19-07-2010 19:11,Harold L,14-09-2014 02:53,,"London, United Kingdom",0,50,0,,,
13,7236,20-08-2010 18:30,xiaodai,03-02-2011 12:25,,Switzerland,2010,1102,75,44.0,,
14,1,26-07-2010 21:19,Stephen Henderson,14-04-2014 14:57,,"Cambridge, United Kingdom",0,0,0,37.0,,
15,1,21-09-2010 18:58,ekollar,06-12-2011 23:10,,"Newcastle, United Kingdom",510,297,32,18.0,,
16,1,29-07-2010 12:15,Łukasz Lew,23-09-2010 01:32,http://www.columbia.edu/~cds81,"Madison, WI",0,0,0,24.0,,
17,2295,19-07-2010 19:09,Mark,19-07-2010 06:55,http://www.columbia.edu/~cds81,"Healdsburg, CA",720,1509,129,33.0,,
18,9682,19-07-2010 23:05,MatthewMartin,29-12-2011 23:59,http://www.dedeodesigns.com/,"St. Louis, MO",2024,1778,75,,,
19,6787,10-09-2010 01:58,Eike,20-02-2011 22:46,,,1698,1095,56,,,
20,2046,04-08-2010 20:59,Cyrus,17-12-2010 18:44,http://sbseminar.wordpress.com,Austria,538,619,70,39.0,,
21,6239,01-08-2010 09:11,Simon Byrne,04-11-2011 15:17,http://esm.logic.net/,"Healdsburg, CA",1323,348,13,47.0,,
22,1,11-09-2010 01:28,paul,29-04-2011 08:38,http://profiles.google.com/114451807329956829391/about,,0,0,0,,,
23,1,19-07-2010 19:11,euki,04-08-2010 11:28,http://tormodboe.wordpress.com/,"Healdsburg, CA",0,793,113,23.0,,
24,577,08-09-2010 11:49,Vicente Cartas,02-09-2014 14:29,http://hlangeveld.nl,"Rochester, NY",0,0,0,31.0,,
25,3487,26-09-2010 16:26,Silent Warrior,13-09-2014 15:50,http://www.glennstovall.com,"Healdsburg, CA",594,160,72,32.0,,
26,1,19-07-2010 19:28,Ben Schwehn,27-08-2014 20:06,http://stackoverflow.com/users/109341/sander,"Belgrade, Serbia",16,0,0,,,
27,6905,03-09-2010 16:15,KahWee Teng,30-07-2010 21:16,http://redhardsupra.blogspot.com,Germany,861,857,22,38.0,,
28,1575,11-09-2010 01:28,user283,27-09-2010 19:17,http://www.elxn41.ca,,190,48,0,,,
29,6811,22-07-2010 05:56,cemerick,03-10-2013 18:41,http://meta.stackexchange.com/,"Regina, Canada",1057,1155,73,45.0,,
30,1,11-09-2010 19:03,freiheit,22-08-2010 04:07,,"Montreal, Canada",0,0,0,,,
31,1,19-07-2010 21:33,Aaron Statham,19-03-2014 17:30,http://jakebowers.org,"Ontario, Canada",0,0,79,31.0,,
32,1,21-07-2010 14:38,houbysoft,13-10-2010 19:41,http://christoph.ruegg.name/,United States,0,86,64,29.0,,
33,9509,02-09-2010 21:55,nbv4,30-03-2014 12:43,,,1912,1989,177,,,
34,3054,19-07-2010 23:43,David Smith,31-07-2010 22:31,,"San Francisco, CA",905,1582,129,,,
35,1,23-09-2010 21:40,JD Long,31-08-2012 15:49,http://twitter.com/alexablag,Michigan,0,0,0,,,
36,1,20-07-2010 08:09,Anthony Leverrier,02-05-2014 21:12,http://jonhnnyweslley.net,Brazil,0,0,0,38.0,,
37,2231,12-09-2010 18:56,HoLyVieR,31-07-2014 17:23,,"Delhi, India",124,837,0,,,
38,1323,04-09-2010 04:50,Ramnath,14-09-2014 02:53,,,706,787,71,,,
