Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,Views,UpVotes,DownVotes,Age,ProfileImageUrl,ImageName
-1,1,19-07-2010 06:55,Community,19-07-2010 06:55,http://meta.stackexchange.com/,on the server farm,0,5007,1920,NULL,NULL,NULL
2,101,19-07-2010 14:01,Geoff Dalgas,12-11-2013 22:07,http://stackoverflow.com,"Corvallis, OR",25,3,0,37,NULL,NULL
3,101,19-07-2010 15:34,Jarrod Dixon,08-08-2014 06:42,http://stackoverflow.com,"New York, NY",22,19,0,35,NULL,NULL
4,101,19-07-2010 19:03,Emmett,02-01-2014 09:31,http://minesweeperonline.com,"San Francisco, CA",11,0,0,28,http://i.stack.imgur.com/d1oHX.jpg,d1oHX.jpg
5,6792,19-07-2010 19:03,Shane,13-08-2014 00:23,http://www.statalgo.com,"New York, NY",1145,662,5,35,NULL,NULL
6,457,19-07-2010 19:04,Harlan,07-08-2014 19:49,http://www.harlan.harris.name,District of Columbia,114,47,0,41,NULL,NULL
7,429,19-07-2010 19:04,Vince,10-09-2014 21:14,http://bioinformatics.ucdavis.edu,"Davis, CA",56,20,0,28,NULL,NULL
8,6764,19-07-2010 19:04,csgillespie,09-09-2014 21:15,http://www.mas.ncl.ac.uk/~ncsg3/,"Newcastle, United Kingdom",1089,604,25,36,NULL,NULL
10,121,19-07-2010 19:05,Pierre,28-07-2014 18:15,http://plindenbaum.blogspot.com,France,20,2,0,44,NULL,NULL
11,136,19-07-2010 19:06,wahalulu,23-07-2014 21:28,http://www.linkedin.com/in/marckvaisman,"Washington, DC",10,10,0,40,NULL,NULL
12,101,19-07-2010 19:06,Jin,09-09-2014 20:26,http://www.8164.org,"Raleigh, NC",10,5,0,38,NULL,NULL
13,817,19-07-2010 19:06,Sharpie,14-08-2014 17:28,http://www.sharpsteen.net,United States,178,44,1,28,NULL,NULL
15,11,19-07-2010 19:07,hannes.koller,24-08-2010 14:23,http://soma.denkt.org,"Vienna, Austria",8,0,0,35,NULL,NULL
16,101,19-07-2010 19:08,slashnick,19-08-2010 20:40,NULL,"London, United Kingdom",4,7,0,31,NULL,NULL
17,345,19-07-2010 19:08,Random,10-09-2010 07:34,NULL,NULL,14,13,1,NULL,NULL,NULL
18,128,19-07-2010 19:08,grokus,09-08-2012 15:02,http://wikipedia.org,United States,8,16,0,44,NULL,NULL
19,101,19-07-2010 19:08,Noah Snyder,17-06-2012 15:53,http://sbseminar.wordpress.com,"New York, NY",13,2,0,34,NULL,NULL
21,101,19-07-2010 19:08,Waleed Al-Balooshi,26-09-2011 02:28,NULL,Michigan,6,0,0,33,NULL,NULL
22,591,19-07-2010 19:09,radek,11-09-2014 15:21,NULL,"Berne, Switzerland",90,693,6,NULL,NULL,NULL
23,308,19-07-2010 19:09,Jay Stevens,11-08-2014 19:51,http://www.centerlinescores.com,NULL,52,34,1,46,NULL,NULL
24,344,19-07-2010 19:09,A Lion,06-12-2011 04:21,NULL,NULL,48,36,1,NULL,NULL,NULL
25,4968,19-07-2010 19:09,Harvey Motulsky,13-09-2014 21:51,http://www.graphpad.com,Santa Monica CA,641,328,23,62,NULL,NULL
26,3150,19-07-2010 19:09,JMS,13-09-2014 04:03,NULL,NULL,257,138,7,NULL,NULL,NULL
27,101,19-07-2010 19:09,balpha,14-04-2014 14:57,http://balpha.de/,"Berlin, Germany",10,2,0,34,NULL,NULL
29,2250,19-07-2010 19:09,JD Long,11-08-2014 19:14,http://cerebralmastication.com,"Chicago, IL",318,28,1,42,NULL,NULL
30,2185,19-07-2010 19:10,gappy,27-08-2014 20:06,http://www.twitter.com/gappy3000,"New York, NY",312,40,3,NULL,NULL,NULL
33,221,19-07-2010 19:11,James Roth,08-09-2014 21:15,NULL,NULL,11,2,0,NULL,NULL,NULL
34,185,19-07-2010 19:11,Christopher D. Long,13-09-2014 00:02,http://angrystatistician.blogspot.com,"Versailles, KY",27,23,0,NULL,http://i.stack.imgur.com/km1pr.jpg,km1pr.jpg
35,101,19-07-2010 19:11,adi92,13-08-2014 06:05,http://www.contrib.andrew.cmu.edu/~amukherj/,"Pittsburgh, PA",4,9,0,26,NULL,NULL
36,1570,19-07-2010 19:11,Stephen Turner,29-08-2014 15:17,http://gettinggeneticsdone.blogspot.com/,"Nashville, TN",173,26,1,31,NULL,NULL
37,156,19-07-2010 19:11,Menno,17-11-2011 08:12,NULL,NULL,2,0,0,NULL,NULL,NULL
38,133,19-07-2010 19:11,EAMann,03-04-2012 15:47,http://www.eamann.com,"Portland, OR",15,1,0,31,NULL,NULL
39,1651,19-07-2010 19:11,John L. Taylor,07-08-2014 17:21,http://www.johnnylogic.org/,"Portland, OR",255,12,0,35,NULL,NULL
40,41,19-07-2010 19:12,Amy Glen,15-01-2012 12:15,http://amyglen.wordpress.com,"Perth, Australia",8,2,0,33,NULL,NULL
41,611,19-07-2010 19:12,Reed Copsey,16-11-2012 17:32,http://www.reedcopsey.com,"Bellingham, WA",83,12,0,38,NULL,NULL
43,101,19-07-2010 19:12,Nick Canzoneri,24-06-2014 19:24,http://nickcanzoneri.com,"Philadelphia, PA",1,1,1,NULL,NULL,NULL
46,111,19-07-2010 19:13,hadley,27-08-2013 21:25,http://had.co.nz,"Houston, TX",350,59,15,35,NULL,NULL
47,1,19-07-2010 19:13,mornington,07-09-2013 07:48,NULL,NULL,19,0,0,NULL,NULL,NULL
50,101,19-07-2010 19:14,Alex Ott,04-09-2014 12:06,http://alexott.net/en/,Germany,3,3,0,40,NULL,NULL
51,101,19-07-2010 19:14,Sami,02-12-2011 01:00,NULL,"New York, NY",0,1,0,40,NULL,NULL
52,861,19-07-2010 19:15,Alan H.,31-12-2013 11:17,NULL,NULL,62,12,0,NULL,NULL,NULL
53,138,19-07-2010 19:15,kyle,11-07-2014 21:29,http://1.618034.com,"Santa Monica, CA",8,7,0,30,NULL,NULL
54,360,19-07-2010 19:15,chrisamiller,09-04-2014 21:24,http://www.chrisamiller.com,"St. Louis, MO",18,21,2,32,NULL,NULL
55,366,19-07-2010 19:16,Amos,30-12-2012 12:05,http://www.wolfsheadsoftware.co.uk,"Bolton, United Kingdom",16,48,1,45,NULL,NULL
56,563,19-07-2010 19:16,Benjamin Bannier,01-04-2014 09:52,NULL,"Hamburg, Germany",64,10,0,NULL,NULL,NULL
57,126,19-07-2010 19:18,kaybenleroll,30-06-2014 15:49,http://www.kaybensoft.com,Ireland,7,93,0,37,NULL,NULL
58,123,19-07-2010 19:19,Preets,06-09-2013 12:09,http://preetiedul.wordpress.com/,"London, United Kingdom",19,3,0,34,NULL,NULL
59,402,19-07-2010 19:19,dassouki,04-07-2014 16:54,http://www.elegantdesigns.ca,"Fredericton, Canada",82,51,0,32,NULL,NULL
60,101,19-07-2010 19:19,Jason Punyon,11-09-2014 18:41,http://jasonpunyon.com,"New York, NY",8,1,1,31,NULL,NULL
61,1956,19-07-2010 19:19,Rich,12-03-2013 14:28,NULL,United States,147,39,4,NULL,NULL,NULL
62,549,19-07-2010 19:20,Baltimark,18-07-2014 15:01,http://www.baltimark.com,United States,90,13,3,42,NULL,NULL
64,136,19-07-2010 19:20,Martin,22-04-2013 12:48,http://None,"Seattle, WA",11,4,0,32,NULL,NULL
65,101,19-07-2010 19:20,StompChicken,01-07-2014 06:42,http://www.stompchicken.com,United Kingdom,8,4,0,33,NULL,NULL
66,614,19-07-2010 19:21,Daniel Vassallo,29-12-2011 23:59,http://ie.linkedin.com/in/danielvassallo,"Seattle, WA",102,12,0,31,NULL,NULL
67,101,19-07-2010 19:21,John Stauffer,19-07-2010 19:21,NULL,Massachusetts,4,0,0,46,NULL,NULL
68,503,19-07-2010 19:21,Ami,12-09-2014 20:49,NULL,NULL,42,10,0,26,NULL,NULL
69,530,19-07-2010 19:22,Mehper C. Palavuzlar,14-08-2014 06:06,http://twitter.com/mehper,"Istanbul, Turkiye",174,630,6,36,NULL,NULL
71,1936,19-07-2010 19:24,Matt Parker,08-09-2014 22:57,https://github.com/mmparker,"Denver, CO",328,2317,1,31,NULL,NULL
